model,split_policy,group_type,group,n,ade_meters,fde_meters,rmse_meters,mae_meters
constant_acceleration,temporal_test,region,east_gulf_coast,22583,29267.962208546745,64672.89567092016,37827.56313491084,25691.956647331517
constant_acceleration,temporal_test,region,hawaii_pacific,213,68627.4543081776,121209.18480143632,71580.32845429555,53458.40341612618
constant_acceleration,temporal_test,region,other,550,47853.33651647902,107554.798529852,46544.246709141444,30868.785457507485
constant_acceleration,temporal_test,region,west_coast,4604,60490.0680324399,127888.1814516014,65171.55278391227,42877.61485060002
constant_acceleration,temporal_test,speed_bin,sog_0_2,20601,11607.378904209294,25056.354482065166,19712.398846680837,13525.556138137626
constant_acceleration,temporal_test,speed_bin,sog_15_50,372,138255.65239277304,230272.30755512425,188124.70882616547,122090.63839305389
constant_acceleration,temporal_test,speed_bin,sog_2_8,4772,64530.77071918151,165188.6609234577,61246.800302688,41452.36950281719
constant_acceleration,temporal_test,speed_bin,sog_8_15,2205,173195.50714784957,337483.1468804609,193563.8918709223,128846.28613001424
constant_acceleration,temporal_test,turn_bin,turn_0_5,12831,40697.99018786969,83603.63140114922,44929.5169257391,29992.85896860179
constant_acceleration,temporal_test,turn_bin,turn_15_45,6556,18314.783922874645,46396.356965212304,19135.812348422947,13248.894838786633
constant_acceleration,temporal_test,turn_bin,turn_45_180,2891,12168.4782839829,32051.970894160382,11389.427461610754,7472.866932552954
constant_acceleration,temporal_test,turn_bin,turn_5_15,5672,53410.603034335865,117193.74599199436,81150.17290579692,55125.5785220185
constant_velocity,temporal_test,region,east_gulf_coast,22583,2841.4326741873765,4694.349112603687,2378.4113307636726,1806.7245821643069
constant_velocity,temporal_test,region,hawaii_pacific,213,2030.0491188849853,2669.654948296187,1618.6594445534379,1335.8653311552139
constant_velocity,temporal_test,region,other,550,4624.108091060012,7035.207882155971,3946.133322655073,2831.75112470744
constant_velocity,temporal_test,region,west_coast,4604,2118.5436977694994,3145.0578082503343,1762.038161158375,1316.754006668586
constant_velocity,temporal_test,speed_bin,sog_0_2,20601,2030.4538943726438,3464.087397427159,1706.8110362023704,1287.4654422286046
constant_velocity,temporal_test,speed_bin,sog_15_50,372,7945.065421595321,12587.635543091928,6784.4644276827885,4927.543411350953
constant_velocity,temporal_test,speed_bin,sog_2_8,4772,2426.176781978619,3673.3265850963726,1996.7588696054318,1520.3573241229458
constant_velocity,temporal_test,speed_bin,sog_8_15,2205,9312.856489661477,14219.933622575742,7766.37928167764,5938.472673358332
constant_velocity,temporal_test,turn_bin,turn_0_5,12831,2235.042967132708,3322.635043796973,1860.6242530486086,1413.9779537669083
constant_velocity,temporal_test,turn_bin,turn_15_45,6556,885.1210934719462,1486.1419485454521,808.0103930477974,556.6257374070746
constant_velocity,temporal_test,turn_bin,turn_45_180,2891,510.4247327844804,799.5476359935535,418.322646859682,317.9177611880396
constant_velocity,temporal_test,turn_bin,turn_5_15,5672,7218.12078200776,12384.161481136493,5987.108227432996,4582.952999475539
gru_baseline,temporal_test,region,east_gulf_coast,22583,22199.522587511008,22227.572568499272,15877.740577135528,13036.432202268601
gru_baseline,temporal_test,region,hawaii_pacific,213,117458.48586333233,115168.56979242564,83144.9548492126,72478.68994091364
gru_baseline,temporal_test,region,other,550,139361.41702164826,146069.36559553043,99192.18942156906,79087.34485467964
gru_baseline,temporal_test,region,west_coast,4604,22105.48858443843,23435.669180342113,15891.593832943481,13487.946441200958
gru_baseline,temporal_test,speed_bin,sog_0_2,20601,24187.08700583783,24297.32107284609,17232.644025928126,14139.059529473643
gru_baseline,temporal_test,speed_bin,sog_15_50,372,48746.24556470546,50296.475542970846,35156.534670409594,29182.755408196328
gru_baseline,temporal_test,speed_bin,sog_2_8,4772,21397.447729352298,21831.875178587612,15349.388269409454,12888.428999552523
gru_baseline,temporal_test,speed_bin,sog_8_15,2205,39116.78982562682,41401.83219416551,28418.26835732838,23491.1205905711
gru_baseline,temporal_test,turn_bin,turn_0_5,12831,27215.882157197288,27837.578321438108,19488.6835888819,16113.347838822925
gru_baseline,temporal_test,turn_bin,turn_15_45,6556,23156.96439136745,23228.36331432845,16544.07284524519,13512.422209264943
