split_policy,model,horizon_step,ade_meters,fde_meters,rmse_meters,mae_meters
temporal_test,constant_acceleration,1,968.4807878622356,968.4807878622356,23190.905533235713,602.9572057597841
temporal_test,constant_acceleration,2,1908.0350397540408,2847.589291645845,38979.813619437526,1190.853663481415
temporal_test,constant_acceleration,3,3312.2274427030047,6120.612248600932,64995.51954606522,2083.4825152060193
temporal_test,constant_acceleration,4,5196.103493674828,10847.7316465903,95197.27131587056,3315.027273739742
temporal_test,constant_acceleration,5,7206.934306075174,15250.257555676564,130880.77690754378,4710.7107893969
temporal_test,constant_acceleration,6,9446.864575289725,20646.515921362465,172420.64117368704,6295.573845211312
temporal_test,constant_acceleration,7,11729.136140828025,25422.76553405783,214375.4055708144,8046.626241979747
temporal_test,constant_acceleration,8,14242.581258939252,31836.69708571782,259117.02414188144,10012.071452904447
temporal_test,constant_acceleration,9,16951.73184543315,38624.93653738438,310415.33062985126,12174.72004743905
temporal_test,constant_acceleration,10,19864.76335557189,46082.046946820505,375603.87327403924,14533.922485966443
temporal_test,constant_acceleration,11,22906.89302590223,53328.18972920563,457837.22027314507,17164.59067831458
temporal_test,constant_acceleration,12,26038.017061466326,60480.381452671354,544956.5952609867,19981.363904750186
temporal_test,constant_acceleration,13,29145.798493544433,66439.17567848177,618447.3335761161,22827.410749122166
temporal_test,constant_acceleration,14,32127.771054271296,70893.4143437205,673426.6855069165,25650.273106128596
temporal_test,constant_acceleration,15,35076.62420853917,76360.56836828934,737164.2289124491,28836.29580207922
temporal_test,constant_velocity,1,414.91484053556997,414.91484053556997,17731.98347961556,256.8175617302131
temporal_test,constant_velocity,2,455.8347607893949,496.75468104322005,19993.224731105638,281.70233831164495
temporal_test,constant_velocity,3,602.7502420621292,896.5812046075981,24575.36109651181,374.7660082128904
temporal_test,constant_velocity,4,948.6307537012085,1986.2722886184458,28088.361896780036,592.1928008108495
temporal_test,constant_velocity,5,1198.514797946238,2198.0509749263583,31731.591054811153,749.4045364172207
temporal_test,constant_velocity,6,1403.369028518105,2427.640181377439,36956.22189348939,878.6868921270426
temporal_test,constant_velocity,7,1576.4110416282738,2614.663120289287,41320.69893269762,987.5339253581847
temporal_test,constant_velocity,8,1728.2683966310765,2791.2698816506954,45508.72812836073,1083.8021499587494
temporal_test,constant_velocity,9,1916.7672412311445,3424.75799803169,50255.12965537464,1203.2684145010198
temporal_test,constant_velocity,10,2084.2506398988767,3591.601227908469,54507.34741315314,1309.5374745523852
temporal_test,constant_velocity,11,2229.346386064389,3680.303847719507,58875.92384571098,1402.349231490441
temporal_test,constant_velocity,12,2375.534463948612,3983.6033206750662,63627.72670589274,1496.134152373733
temporal_test,constant_velocity,13,2507.3648870615034,4089.3299644162,68171.38115488701,1581.6729960014493
temporal_test,constant_velocity,14,2628.5006508391534,4203.2655799486,72779.24799416433,1661.8420639903793
temporal_test,constant_velocity,15,2751.2525645119786,4469.779355931539,77190.66714091826,1742.5974640373477
temporal_test,gru_baseline,1,23473.333729872982,23473.333729872982,28406.694059987803,13775.619921177764
temporal_test,gru_baseline,2,23990.855887121976,24508.378044370966,28441.200966196302,14061.816549350628
temporal_test,gru_baseline,3,24195.872497170378,24605.90571726719,28555.01718567318,14157.050208692624
temporal_test,gru_baseline,4,24217.669562174015,24283.060757184932,28564.146555226853,14204.685679296594
temporal_test,gru_baseline,5,24101.594554262916,23637.294522618497,28517.931887014987,14165.778599123441
temporal_test,gru_baseline,6,24232.408576963553,24886.478690466745,28696.887494124716,14250.308614245258
temporal_test,gru_baseline,7,24389.046399904208,25328.873337548142,28867.5298977437,14354.320898235272
temporal_test,gru_baseline,8,24560.486971693193,25760.5709742161,29110.522815126376,14460.843733401614
temporal_test,gru_baseline,9,24665.385021569073,25504.56942057608,29200.2749086253,14527.772264418885
temporal_test,gru_baseline,10,24826.927143270957,26280.806238587913,29348.378845051153,14626.8092815188
temporal_test,gru_baseline,11,24959.858802907995,26289.175399278378,29566.63082207226,14702.63975253286
temporal_test,gru_baseline,12,25138.57260107573,27104.424380920867,29848.495861431118,14799.54292630099
temporal_test,gru_baseline,13,25197.042364258563,25898.679522452534,30007.325827774202,14840.63712983874
temporal_test,gru_baseline,14,25190.037630068073,25098.97608559166,29831.302189939164,14844.635029796922
temporal_test,gru_baseline,15,25215.48926251563,25571.812116781482,29923.914129129185,14863.551143706956
temporal_test,kalman_filter_cv,1,281.3821117450197,281.3821117450197,11375.902296518747,173.68020828158708
temporal_test,kalman_filter_cv,2,268.05987254725255,254.73763334948552,10606.639615917806,164.64578608321133
temporal_test,kalman_filter_cv,3,336.68279838613836,473.9286500639103,11207.874864131229,208.77333802233892
temporal_test,kalman_filter_cv,4,624.6060465100868,1488.3757908819318,12078.450423483879,389.8768726742238
temporal_test,kalman_filter_cv,5,807.6057120618624,1539.604374268965,12952.590323820928,505.1122392948501
temporal_test,kalman_filter_cv,6,941.9203801705603,1613.4937207140501,13775.887985658199,589.600867562914
temporal_test,kalman_filter_cv,7,1056.7721276109496,1745.882612253285,14832.076341211467,661.3901126807614
temporal_test,kalman_filter_cv,8,1149.8521974494395,1801.412686318869,15710.702744175442,719.9861937593198
temporal_test,kalman_filter_cv,9,1272.0991042497626,2250.074358652347,16520.952766095073,796.453408078197
temporal_test,kalman_filter_cv,10,1381.086595820267,2361.9740199548046,17684.63449679193,864.5888922205779
temporal_test,kalman_filter_cv,11,1467.8873593667513,2335.8949948315976,18342.773051862772,918.8872706782806
temporal_test,kalman_filter_cv,12,1556.5002035021623,2531.2414889916813,19636.12172659356,973.9166692078993
temporal_test,kalman_filter_cv,13,1631.20745610336,2527.694487317732,20592.180036114227,1020.6489991990928
temporal_test,kalman_filter_cv,14,1692.2664490375462,2486.033357181969,21306.584617089742,1058.906576962765
temporal_test,kalman_filter_cv,15,1759.7456066174311,2704.4538127358196,22422.65354123169,1101.0958960275714
temporal_test,linear_lstsq,1,691.1006515480973,691.1006515480973,10731.83795727451,430.303778015411
temporal_test,linear_lstsq,2,789.3323950467886,887.5641385454801,10000.468662978714,489.84903340705984
temporal_test,linear_lstsq,3,868.986250476593,1028.2939613362016,9455.67961225522,541.1479702156392
temporal_test,linear_lstsq,4,1278.683344483552,2507.7746265044293,10540.552477957739,797.8271217735461
temporal_test,linear_lstsq,5,1540.6617480408045,2588.575362269814,11235.750148116627,962.1292925147575
temporal_test,linear_lstsq,6,1728.8209811542697,2669.6171467215954,11438.725159475021,1080.1867936784565
temporal_test,linear_lstsq,7,1886.6636735721347,2833.7198280793245,11886.283735674226,1179.0124651573753
temporal_test,linear_lstsq,8,2011.4574912433052,2885.014214941498,11964.398889227925,1257.6973508374604
temporal_test,linear_lstsq,9,2221.1829509260365,3898.986628387889,12204.037924183302,1389.1269712039636
temporal_test,linear_lstsq,10,2386.5245396082105,3874.598837747776,12700.808023273898,1492.7649663164818
temporal_test,linear_lstsq,11,2521.7549953729604,3874.059553020456,12810.309688321937,1577.5831302102079
temporal_test,linear_lstsq,12,2655.5361493924884,4127.128843607299,13034.98995381985,1660.7799218497983
temporal_test,linear_lstsq,13,2773.4323222018065,4188.186395913624,13185.405388619616,1734.7644180906782
temporal_test,linear_lstsq,14,2919.6993813920726,4821.171150865532,13186.895914856435,1826.6650671155562
temporal_test,linear_lstsq,15,3052.2967840577753,4908.660421377614,13349.07901798738,1910.26934789381
temporal_test,lstm_baseline,1,35422.509462353635,35422.509462353635,56813.88994640311,21794.639796559368
temporal_test,lstm_baseline,2,35517.63685316844,35612.76424398324,56975.99784649447,21845.032999434443
temporal_test,lstm_baseline,3,35631.45068311435,35859.07834300619,57030.70141089748,21912.995323957366
temporal_test,lstm_baseline,4,35636.537283219666,35651.79708353557,57008.6249768923,21923.98957690513
temporal_test,lstm_baseline,5,35785.698624872726,36382.343991484966,57117.65501194714,22011.81692198222
temporal_test,lstm_baseline,6,35832.946160592626,36069.18383919214,57347.818706436774,22042.428953999326
temporal_test,lstm_baseline,7,35873.46805636187,36116.59943097732,57450.25316164635,22068.310938631945
temporal_test,lstm_baseline,8,35905.660624658434,36131.00860273441,57508.353015138884,22087.06567599376
temporal_test,lstm_baseline,9,35955.07150807503,36350.35857540775,57642.68586361407,22118.193713796863
temporal_test,lstm_baseline,10,35950.2218529105,35906.57495642975,57671.66801640645,22118.646368084923
temporal_test,lstm_baseline,11,35981.19554648178,36290.93248219462,57716.12040512735,22138.359733483343
temporal_test,lstm_baseline,12,36014.40807132962,36379.74584465583,57757.63769871599,22157.56126816233
temporal_test,lstm_baseline,13,36036.4994641818,36301.596178407875,57784.006890119395,22171.505658688773
temporal_test,lstm_baseline,14,36033.63402218574,35996.38327623701,57810.94478870033,22171.69344917435
temporal_test,lstm_baseline,15,36039.17869992777,36116.804188316186,57826.345250434504,22176.218796647365
temporal_test,ridge_lstsq,1,768.9687317976197,768.9687317976197,8845.968040110363,475.3896665301611
temporal_test,ridge_lstsq,2,823.9344159018514,878.900100006083,8118.02020098791,508.3262299202918
temporal_test,ridge_lstsq,3,928.2967072542286,1137.0212899589833,7913.137609224837,574.5064905425824
temporal_test,ridge_lstsq,4,1346.7536723271069,2602.124567545741,8972.028824425313,837.9705957462181
temporal_test,ridge_lstsq,5,1621.373233570526,2719.8514785442035,9914.318561671122,1010.0161265695244
temporal_test,ridge_lstsq,6,1804.954358981239,2722.8599860348036,10222.216332171074,1125.6681450751796
temporal_test,ridge_lstsq,7,1964.3075307256042,2920.4265611917963,10621.358224831125,1225.30127532393
temporal_test,ridge_lstsq,8,2093.6565466876323,2999.099658421828,10842.648435117366,1307.0051170820125
temporal_test,ridge_lstsq,9,2300.368213366161,3954.0615467943885,11136.003447610374,1436.8040561719254
temporal_test,ridge_lstsq,10,2468.8670453281275,3985.356532985826,11638.473406630936,1542.5922234160823
temporal_test,ridge_lstsq,11,2602.6760649697276,3940.7662613857315,11786.472544944294,1626.8834170520222
temporal_test,ridge_lstsq,12,2736.3559297727957,4206.834442606545,12055.28569062458,1710.2898525879878
temporal_test,ridge_lstsq,13,2854.981808773289,4278.492356779207,12214.771648802662,1784.8261394952685
temporal_test,ridge_lstsq,14,3003.3190872444743,4931.703707369886,12257.893267989219,1878.4793453504042
temporal_test,ridge_lstsq,15,3141.7311429986694,5079.4999235574,12468.890582055568,1965.7942349514572
temporal_test,tcn_baseline,1,46750.65966231214,46750.65966231214,47553.76208446353,29510.719534815325
temporal_test,tcn_baseline,2,45945.92221190734,45141.18476150253,46662.38645668804,28891.98644719716
temporal_test,tcn_baseline,3,45954.33261161036,45971.153411016414,47259.194982238216,28867.08109384117
temporal_test,tcn_baseline,4,46126.12832404756,46641.51546135915,47592.884125787336,29030.759682520413
temporal_test,tcn_baseline,5,46730.72964187638,49149.13491319165,48035.15108849263,29412.068997327795
